sim_id,timestamp,L1I_size,L1I_assoc,L1D_size,L1D_assoc,L2_size,L2_assoc,L3_size,L3_assoc,load_queue,store_queue,num_fu_read,num_fu_write,ipc,cpi,energy,edp,runtime_power,leakage_power,total_power,sim_seconds,sim_ticks
32,2025-10-29T13:54:03.852318,64kB,4,512kB,2,128kB,8,2MB,16,72,72,4,1,0.958010,1.043830,2.412591,2.5183345600,1.740780,0.570507,2.311287,0.118492,118492404072
31,2025-10-29T13:54:04.672213,128kB,4,512kB,8,128kB,8,2MB,16,48,80,3,1,0.959471,1.042241,2.567682,2.6761430421,1.886700,0.576916,2.463616,0.118312,118311923912
33,2025-10-29T13:54:11.889091,64kB,4,128kB,4,1MB,8,2MB,16,64,72,2,1,0.958378,1.043430,2.394445,2.4984361905,1.686290,0.608493,2.294783,0.118447,118446991768
34,2025-10-29T13:54:12.041692,64kB,4,512kB,2,1MB,8,2MB,16,64,80,2,2,0.958667,1.043115,2.486076,2.5932629567,1.742510,0.640809,2.383319,0.118411,118411140400
37,2025-10-29T14:10:15.758657,128kB,4,512kB,4,256kB,8,2MB,16,64,72,3,1,0.959517,1.042191,2.431487,2.5340737004,1.747330,0.585723,2.333053,0.118306,118306326628
39,2025-10-29T14:10:32.861652,128kB,4,1MB,2,512kB,8,2MB,16,72,64,2,2,0.959602,1.042099,2.647307,2.7587555769,1.885810,0.654550,2.540360,0.118296,118295818928
38,2025-10-29T14:10:41.046613,64kB,4,128kB,4,256kB,8,2MB,16,64,64,2,1,0.956893,1.045049,2.331754,2.4367972755,1.682540,0.548699,2.231239,0.118631,118630752996
36,2025-10-29T14:10:46.342684,128kB,4,128kB,4,1MB,8,2MB,16,64,64,2,2,0.959234,1.042498,2.400062,2.5020596582,1.689100,0.613122,2.302222,0.118341,118341197436
40,2025-10-29T14:10:52.204221,128kB,4,512kB,2,256kB,8,2MB,16,72,72,3,1,0.959442,1.042273,2.430579,2.5333263986,1.746270,0.585728,2.331998,0.118316,118315632428
41,2025-10-29T14:26:50.773922,64kB,4,64kB,4,256kB,8,2MB,16,72,64,2,1,0.956470,1.045511,2.265237,2.3683297238,1.624870,0.541761,2.166631,0.118683,118683128228
44,2025-10-29T14:27:07.053737,64kB,4,128kB,2,128kB,8,2MB,16,72,80,4,1,0.954779,1.047363,2.259214,2.3662175288,1.618770,0.538280,2.157050,0.118893,118893432644
42,2025-10-29T14:27:16.742071,64kB,4,64kB,8,256kB,8,2MB,16,48,64,3,2,0.956451,1.045532,2.486728,2.5999535021,1.834440,0.543993,2.378433,0.118686,118685575344
43,2025-10-29T14:27:29.252099,64kB,4,64kB,4,512kB,8,2MB,16,64,72,3,1,0.958043,1.043794,2.286048,2.3861628569,1.627660,0.562473,2.190133,0.118488,118488246688
45,2025-10-29T14:27:32.458863,64kB,4,64kB,4,1MB,8,2MB,16,72,72,3,2,0.958246,1.043573,2.327590,2.4290105352,1.628850,0.601555,2.230405,0.118463,118463124836
46,2025-10-29T14:43:25.543709,64kB,4,128kB,2,512kB,8,2MB,16,72,80,3,1,0.958091,1.043742,2.288332,2.3884285490,1.622890,0.569541,2.192431,0.118482,118482339052
48,2025-10-29T14:43:55.213027,128kB,4,512kB,4,1MB,8,2MB,16,72,64,2,1,0.959619,1.042080,2.492671,2.5975625865,1.746540,0.645475,2.392015,0.118294,118293675500
47,2025-10-29T14:44:01.048545,128kB,4,64kB,8,1MB,8,2MB,16,64,72,2,2,0.959197,1.042539,2.558596,2.6674362051,1.845640,0.608557,2.454197,0.118346,118345754184
49,2025-10-29T14:44:09.779885,128kB,4,1MB,8,128kB,8,2MB,16,72,72,2,2,0.959613,1.042087,2.719934,2.8344074071,1.985280,0.624803,2.610083,0.118295,118294512784
50,2025-10-29T14:44:11.204403,64kB,4,128kB,4,256kB,8,2MB,16,48,64,2,1,0.956884,1.045059,2.329363,2.4343221404,1.680330,0.548600,2.228930,0.118632,118631902536
51,2025-10-29T14:59:58.346697,64kB,4,128kB,2,128kB,8,2MB,16,72,80,3,1,0.954779,1.047363,2.259214,2.3662175288,1.618770,0.538280,2.157050,0.118893,118893432644
52,2025-10-29T15:00:21.188500,128kB,4,512kB,4,1MB,16,2MB,16,64,80,2,1,0.959639,1.042058,2.501030,2.6062181729,1.749330,0.650757,2.400087,0.118291,118291151748
53,2025-10-29T15:00:38.126649,64kB,4,128kB,8,256kB,8,2MB,16,48,64,3,1,0.957154,1.044764,2.487672,2.5990300334,1.829460,0.551625,2.381085,0.118598,118598416412
55,2025-10-29T15:00:48.969403,128kB,4,64kB,4,128kB,8,2MB,16,64,72,3,2,0.957001,1.044931,2.263740,2.3654516457,1.630520,0.535881,2.166401,0.118617,118617381680
54,2025-10-29T15:00:59.681130,128kB,4,512kB,8,1MB,8,2MB,16,64,64,3,1,0.959624,1.042075,2.639028,2.7500649401,1.885240,0.647234,2.532474,0.118293,118293189980
56,2025-10-29T15:16:34.758604,128kB,4,512kB,2,1MB,16,2MB,16,72,64,3,2,0.959554,1.042151,2.496097,2.6013094677,1.744460,0.650679,2.395139,0.118302,118301696576
57,2025-10-29T15:16:51.628257,128kB,4,512kB,2,512kB,8,2MB,16,72,64,2,2,0.959549,1.042156,2.449970,2.5532510909,1.744470,0.606397,2.350867,0.118302,118302297764
58,2025-10-29T15:17:08.039619,64kB,4,128kB,2,1MB,16,2MB,16,64,80,2,1,0.958266,1.043552,2.333123,2.4347356645,1.621970,0.613782,2.235752,0.118461,118460792912
59,2025-10-29T15:17:24.518092,64kB,4,64kB,8,128kB,8,2MB,16,48,72,2,1,0.954509,1.047659,2.479720,2.5979007680,1.833430,0.533485,2.366915,0.118927,118927022536
60,2025-10-29T15:17:24.983718,64kB,4,64kB,4,512kB,8,2MB,16,48,80,3,1,0.958020,1.043819,2.285708,2.3858653077,1.627340,0.562415,2.189755,0.118491,118491057944
63,2025-10-29T15:34:02.465992,64kB,4,128kB,4,1MB,8,2MB,16,64,72,3,1,0.958378,1.043430,2.394445,2.4984361905,1.686290,0.608493,2.294783,0.118447,118446991768
61,2025-10-29T15:34:10.571141,128kB,4,512kB,4,1MB,16,2MB,16,72,64,2,2,0.959616,1.042083,2.498129,2.6032580789,1.746530,0.650716,2.397246,0.118294,118294083432
64,2025-10-29T15:34:11.322902,128kB,4,64kB,4,1MB,8,2MB,16,72,72,3,2,0.959147,1.042593,2.335289,2.4347564486,1.633660,0.606226,2.239886,0.118352,118351970268
62,2025-10-29T15:34:14.656981,128kB,4,64kB,4,256kB,8,2MB,16,64,64,2,1,0.958513,1.043283,2.270674,2.3689557403,1.630080,0.546390,2.176470,0.118430,118430301304
65,2025-10-29T15:34:15.227136,64kB,4,128kB,2,256kB,8,2MB,16,72,64,2,1,0.956911,1.045029,2.263895,2.3658363868,1.617600,0.548747,2.166347,0.118628,118628444396
67,2025-10-29T15:50:51.397748,64kB,4,512kB,2,512kB,8,2MB,16,72,72,2,1,0.958617,1.043170,2.444552,2.5500833724,1.741620,0.601768,2.343388,0.118417,118417381236
66,2025-10-29T15:50:53.344325,64kB,4,64kB,2,256kB,16,2MB,16,72,64,3,1,0.956459,1.045523,2.213217,2.3139697517,1.574980,0.541872,2.116852,0.118685,118684597164
69,2025-10-29T15:50:57.388748,64kB,4,128kB,2,1MB,8,2MB,16,64,64,2,2,0.958242,1.043578,2.323628,2.4248866895,1.618140,0.608457,2.226597,0.118464,118463746492
68,2025-10-29T15:51:06.739001,64kB,4,128kB,2,1MB,16,2MB,16,64,80,2,1,0.958266,1.043552,2.333123,2.4347356645,1.621970,0.613782,2.235752,0.118461,118460792912
70,2025-10-29T15:51:08.756720,64kB,4,128kB,2,1MB,8,2MB,16,64,80,2,1,0.958245,1.043574,2.327681,2.4291077593,1.621950,0.608540,2.230490,0.118463,118463291912
71,2025-10-29T16:07:27.950916,64kB,4,64kB,2,256kB,8,2MB,16,72,64,2,1,0.956139,1.045873,2.212345,2.3138314522,1.574550,0.540759,2.115309,0.118724,118724321744
73,2025-10-29T16:07:34.951697,64kB,4,128kB,2,128kB,8,2MB,16,72,72,2,1,0.954727,1.047420,2.257261,2.3643006566,1.616830,0.538238,2.155068,0.118900,118899842460
72,2025-10-29T16:07:41.471615,64kB,4,512kB,4,512kB,8,2MB,16,72,80,2,1,0.958563,1.043228,2.448839,2.5546973921,1.745520,0.601847,2.347367,0.118424,118423959556
74,2025-10-29T16:07:49.066785,128kB,4,128kB,4,1MB,8,2MB,16,72,72,3,2,0.959287,1.042441,2.403144,2.5051363031,1.692100,0.613205,2.305305,0.118335,118334626732
75,2025-10-29T16:07:51.961813,64kB,4,512kB,2,128kB,8,2MB,16,72,64,2,1,0.957975,1.043869,2.410612,2.5163630345,1.738840,0.570465,2.309305,0.118497,118496810880
77,2025-10-29T16:24:14.277457,64kB,4,64kB,4,256kB,8,2MB,16,72,72,2,1,0.956459,1.045523,2.267262,2.3704741320,1.626740,0.541803,2.168543,0.118685,118684561940
76,2025-10-29T16:24:17.085392,64kB,4,128kB,4,1MB,8,2MB,16,64,72,2,1,0.958378,1.043430,2.394445,2.4984361905,1.686290,0.608493,2.294783,0.118447,118446991768
78,2025-10-29T16:24:22.159480,64kB,4,128kB,2,256kB,8,2MB,16,72,80,4,1,0.956901,1.045040,2.267977,2.3701268505,1.621400,0.548830,2.170230,0.118630,118629691040
